ID,Comment,Cleaned_Comment,Lemmatized_Comment,Label
26,"Bong Joon-ho, the sui generis South Korean auteur behind unclassifiable modern wonders like “Barking Dogs Never Bite” and “The Host,” has always made films that refuse to fit the narrow parameters of any particular genre. Each of them is built atop a bedrock of comic violence that Bong uses to support the weight of the heavy stories he places on top of it, but simply categorizing “Snowpiercer” as science-fiction or “Memories of Murder” as a mystery would require you to ignore the rare magic that holds them together, and deny the controlled instability that allows them to keep changing shape before your eyes.",bong joonho sui generis south korean auteur behind unclassifiable modern wonders like barking dogs never bite host always made films refuse fit narrow parameters particular genre built atop bedrock comic violence bong uses support weight heavy stories places top simply categorizing snowpiercer sciencefiction memories murder mystery would require ignore rare magic holds together deny controlled instability allows keep changing shape eyes,bong joonho sui generis south korean auteur behind unclassifiable modern wonder like barking dog never bite host always made film refuse fit narrow parameter particular genre built atop bedrock comic violence bong us support weight heavy story place top simply categorizing snowpiercer sciencefiction memory murder mystery would require ignore rare magic hold together deny controlled instability allows keep changing shape eye,positive
27,"despite what mr. park might think, this movie smells so fucking good",despite mr park might think movie smells fucking good,despite mr park might think movie smell fucking good,positive
28,They’re rich but still nice,theyre rich still nice,theyre rich still nice,positive
29,"I saw someone on Twitter doing that annoying thing where they sneer at the idea that a movie that people love really could be as good as they say and then asking for more opinions, hoping to find just one person who says something like ""it was fine"" and then latch onto that one take as the definitive proof that there's some sort of conspiracy (?) to declare a film as great when it's actually ""just fine."" It's a very stupid trend that seems like a thinly-veiled way to get ahead of the curve and preemptively shit on a popular movie and cast all of that movie's fans as rabid sheep who can't think for themselves, in order to present as someone having a hot take that makes you seem smarter and more with it than all those ""idiots"" who enjoyed the movie– but it alllllllways comes across as corny and embarrassingly contrarian.",saw someone twitter annoying thing sneer idea movie people love really could good say asking opinions hoping find one person says something like fine latch onto one take definitive proof theres sort conspiracy declare film great actually fine stupid trend seems like thinlyveiled way get ahead curve preemptively shit popular movie cast movies fans rabid sheep cant think order present someone hot take makes seem smarter idiots enjoyed movie alllllllways comes across corny embarrassingly contrarian,saw someone twitter annoying thing sneer idea movie people love really could good say asking opinion hoping find one person say something like fine latch onto one take definitive proof there sort conspiracy declare film great actually fine stupid trend seems like thinlyveiled way get ahead curve preemptively shit popular movie cast movie fan rabid sheep cant think order present someone hot take make seem smarter idiot enjoyed movie alllllllways come across corny embarrassingly contrarian,positive
30,"leaving the arclight I heard a girl say “holy shit. can’t wait to read the letterboxd reviews on this,” and I think she’s right.",leaving arclight heard girl say holy shit cant wait read letterboxd reviews think shes right,leaving arclight heard girl say holy shit cant wait read letterboxd review think shes right,positive
31,if this doesn’t win the palme d’or i’m burning the palais to the ground,doesnt win palme dor im burning palais ground,doesnt win palme dor im burning palais ground,positive
32,"I'm not the biggest fan of reading long essays on Letterboxd, and this is definitely one of those - so if you'd like to read it on Medium with some photos and headers, check it out here: link.medium.com/QdG86fMem1",im biggest fan reading long essays letterboxd definitely one youd like read medium photos headers check linkmediumcomqdg86fmem1,im biggest fan reading long essay letterboxd definitely one youd like read medium photo header check linkmediumcomqdg86fmem1,negative
33,yup....... this is the best movie that has ever been fucking made,yup best movie ever fucking made,yup best movie ever fucking made,positive
34,You are not ready for this film. I shit you not. Parasite is a tour de force. The hype is true. It is really a masterpiece in its own right.,ready film shit parasite tour de force hype true really masterpiece right,ready film shit parasite tour de force hype true really masterpiece right,positive
35,"jessica, only child,",jessica child,jessica child,neutral
36,"Masterfully constructed and thoroughly compelling genre piece (effortlessly transitioning between familial drama, heist movie, satirical farce, subterranean horror) about the perverse and mutating symbiotic relationship of increasingly unequal, transactional class relationships, and who can and can't afford to be oblivious about the severe, violent material/psychic toll of capitalist accumulation. (""They say a ghost in the house brings wealth."") I think I ultimately admired this more than I felt it, it's clever and manufactured in a way that feels shiny and surface-level more than personal but I think it works in a movie in part about how those shiny surfaces distract us from the horrifying conditions that exist in order to sustain them. The seams of this system are ripping and it feels like Bong has channeled those economic precarities, indignities and anxieties into his own Rube Goldberg microcosm that asks how anyone could be surprised by a violent destination.",masterfully constructed thoroughly compelling genre piece effortlessly transitioning familial drama heist movie satirical farce subterranean horror perverse mutating symbiotic relationship increasingly unequal transactional class relationships cant afford oblivious severe violent materialpsychic toll capitalist accumulation say ghost house brings wealth think ultimately admired felt clever manufactured way feels shiny surfacelevel personal think works movie part shiny surfaces distract us horrifying conditions exist order sustain seams system ripping feels like bong channeled economic precarities indignities anxieties rube goldberg microcosm asks anyone could surprised violent destination,masterfully constructed thoroughly compelling genre piece effortlessly transitioning familial drama heist movie satirical farce subterranean horror perverse mutating symbiotic relationship increasingly unequal transactional class relationship cant afford oblivious severe violent materialpsychic toll capitalist accumulation say ghost house brings wealth think ultimately admired felt clever manufactured way feel shiny surfacelevel personal think work movie part shiny surface distract u horrifying condition exist order sustain seam system ripping feel like bong channeled economic precarities indignity anxiety rube goldberg microcosm asks anyone could surprised violent destination,negative
37,when your circle small but y'all crazy,circle small yall crazy,circle small yall crazy,negative
38,i be in the club requesting jessica only child illinois chicago classmate of kim jin-mo he’s your cousin ding dong,club requesting jessica child illinois chicago classmate kim jinmo hes cousin ding dong,club requesting jessica child illinois chicago classmate kim jinmo he cousin ding dong,neutral
39,What the fuck did you think I would give this?,fuck think would give,fuck think would give,negative
40,Would’ve been even better if I could read,wouldve even better could read,wouldve even better could read,positive
41,"My hands shake as I type these words but people didn't lie when they said this is one of the year's best movies. To me, 2019 is over and Parasite has freakin’ ended it all. You know that feeling when the movie is so good that when it ends, you feel as though a large part of your self has also departed from your body and eventually left behind a void inside you? That's exactly how I felt after watching Parasite. I will be picking this out of my teeth for weeks, maybe months, or even years to come. If you think you know what's coming or what Bong Joon-ho has in store for you? Maybe think again. Probably my favorite “ghost” story out there. Best to watch with your whole family#BongHive",hands shake type words people didnt lie said one years best movies 2019 parasite freakin ended know feeling movie good ends feel though large part self also departed body eventually left behind void inside thats exactly felt watching parasite picking teeth weeks maybe months even years come think know whats coming bong joonho store maybe think probably favorite ghost story best watch whole familybonghive,hand shake type word people didnt lie said one year best movie 2019 parasite freakin ended know feeling movie good end feel though large part self also departed body eventually left behind void inside thats exactly felt watching parasite picking teeth week maybe month even year come think know whats coming bong joonho store maybe think probably favorite ghost story best watch whole familybonghive,positive
42,"It's frustrating to watch movies by Bong Joon-ho. He comes close sometimes, but he never quite nails it when it comes to class consciousness.",frustrating watch movies bong joonho comes close sometimes never quite nails comes class consciousness,frustrating watch movie bong joonho come close sometimes never quite nail come class consciousness,negative
43,“i don’t trust anyone now”,dont trust anyone,dont trust anyone,neutral
44,Best of the Decade.,best decade,best decade,positive
45,"Perhaps the most nuanced and merciless look at economic inequity and wealth corruption ever presented on film. Without question, Parasite is an uncompromising masterpiece that deserves every ounce of praise it receives.",perhaps nuanced merciless look economic inequity wealth corruption ever presented film without question parasite uncompromising masterpiece deserves every ounce praise receives,perhaps nuanced merciless look economic inequity wealth corruption ever presented film without question parasite uncompromising masterpiece deserves every ounce praise receives,negative
46,"Parasite exhibits total technical and conceptual mastery of Bong’s favorite themes while simultaneously taking his oeuvre to new places. He seamlessly weaves together melodrama, satire, comedy and horror elements while ultimately centering deeply lovable and flawed characters. Anyone living in a capitalist democracy will find a lot to chew on here…",parasite exhibits total technical conceptual mastery bongs favorite themes simultaneously taking oeuvre new places seamlessly weaves together melodrama satire comedy horror elements ultimately centering deeply lovable flawed characters anyone living capitalist democracy find lot chew,parasite exhibit total technical conceptual mastery bong favorite theme simultaneously taking oeuvre new place seamlessly weave together melodrama satire comedy horror element ultimately centering deeply lovable flawed character anyone living capitalist democracy find lot chew,positive
47,"so everyone is giving this a 5 because they've never seen a movie that depicts class conflict before this, right?",everyone giving 5 theyve never seen movie depicts class conflict right,everyone giving 5 theyve never seen movie depicts class conflict right,positive
48,“i just feel comfortable here. it feels like i was born here”,feel comfortable feels like born,feel comfortable feel like born,positive
49,"yes, i am still thinking about the Parasite pizza delivery girl..",yes still thinking parasite pizza delivery girl,yes still thinking parasite pizza delivery girl,neutral
50,and now i must live with knowing i was at cannes and could have attended the 2nd ever screening of best picture winner parasite but simply overslept,must live knowing cannes could attended 2nd ever screening best picture winner parasite simply overslept,must live knowing cannes could attended 2nd ever screening best picture winner parasite simply overslept,positive
51,Yeah I respect capitalism’s rights... capitalism’s rights to shut the fuck up,yeah respect capitalisms rights capitalisms rights shut fuck,yeah respect capitalism right capitalism right shut fuck,positive
52,watching this always makes me feel less guilty i used to steal starbucks gift cards as a child,watching always makes feel less guilty used steal starbucks gift cards child,watching always make feel less guilty used steal starbucks gift card child,negative
53,"""She may look like a sheep, but inside, she's a fox.""",may look like sheep inside shes fox,may look like sheep inside shes fox,neutral
54,Masterfully made.,masterfully made,masterfully made,positive
55,best picture showcase: film #7,best picture showcase film 7,best picture showcase film 7,positive
56,"edit: removed ratings, was posted at 2 1/2 stars",edit removed ratings posted 2 12 stars,edit removed rating posted 2 12 star,neutral
57,"""she always ate enough for two""",always ate enough two,always ate enough two,neutral
58,"If you thought Shoplifters needed the excitement of Crank: High Voltage, then boy do I have a film for you!",thought shoplifters needed excitement crank high voltage boy film,thought shoplifter needed excitement crank high voltage boy film,positive
59,"me, yelling at the kims as i watch this for the third time, knowing full well what’s gonna happen to them: [timothee chalamet british accent] [bangs fist on wall] STOP THE FUCKING CHARADE!!!!!!!!!!! STOP IT!!!!!",yelling kims watch third time knowing full well whats gon na happen timothee chalamet british accent bangs fist wall stop fucking charade stop,yelling kims watch third time knowing full well whats gon na happen timothee chalamet british accent bang fist wall stop fucking charade stop,negative
60,"Capitalism is more insidious now than it ever was. There used to be a simple dynamic: merchants, manufacturers, and landowners exploited labourers to create profit. Inequality was obvious. But now, in an era of service sector dominance, liberalism as elitism, and class prefaced as theoretical, lines are blurred. Who are the exploited? *silence* Obviously, still the workers. But capitalism has convinced half the world that the rich suffer. Parasite is a Rorschach test. Some see only the base analogy and go ""who is the real parasite?"". Please don't be that person. Capitalism is inherently parasitic, not because rich and poor equally exploit each other, but because the rich exploit the poor and the poor also exploit the poor. This is the central thesis of Parasite, which is why it comes down to two working class families fighting each other, and the rich just allowing it through indifference. No longer are the rich just evil mill owners watching as poor people die in the street, they are now nice people like me and you, who just don't like to hear about bad things so do nothing as millions suffer in poverty. Same end result, just marketed better. If you can't understand why Ki-taek stabs Mr Park, you're proof that a century of capitalism has convinced us not to fight for change. Parasite is the perfect analogy for the friendly face of exploitation we now accept as reasonable. Please leave us to die, all we want is to dream of having a house as nice as yours. We won't fight Mr Park, in fact, we respect you for everything. Now let us give this film some awards so we won't feel bad for ignoring the message.",capitalism insidious ever used simple dynamic merchants manufacturers landowners exploited labourers create profit inequality obvious era service sector dominance liberalism elitism class prefaced theoretical lines blurred exploited silence obviously still workers capitalism convinced half world rich suffer parasite rorschach test see base analogy go real parasite please dont person capitalism inherently parasitic rich poor equally exploit rich exploit poor poor also exploit poor central thesis parasite comes two working class families fighting rich allowing indifference longer rich evil mill owners watching poor people die street nice people like dont like hear bad things nothing millions suffer poverty end result marketed better cant understand kitaek stabs mr park youre proof century capitalism convinced us fight change parasite perfect analogy friendly face exploitation accept reasonable please leave us die want dream house nice wont fight mr park fact respect everything let us give film awards wont feel bad ignoring message,capitalism insidious ever used simple dynamic merchant manufacturer landowner exploited labourer create profit inequality obvious era service sector dominance liberalism elitism class prefaced theoretical line blurred exploited silence obviously still worker capitalism convinced half world rich suffer parasite rorschach test see base analogy go real parasite please dont person capitalism inherently parasitic rich poor equally exploit rich exploit poor poor also exploit poor central thesis parasite come two working class family fighting rich allowing indifference longer rich evil mill owner watching poor people die street nice people like dont like hear bad thing nothing million suffer poverty end result marketed better cant understand kitaek stab mr park youre proof century capitalism convinced u fight change parasite perfect analogy friendly face exploitation accept reasonable please leave u die want dream house nice wont fight mr park fact respect everything let u give film award wont feel bad ignoring message,negative
61,"""Hell, if i had all this money, I'd be nice too.""",hell money id nice,hell money id nice,positive
62,“YOU KNOW WHAT KIND OF PLAN NEVER FAILS? NO PLAN. NO PLAN AT ALL. YOU KNOW WHY? BECAUSE LIFE CANNOT BE PLANNED.” – KI-TAEK,know kind plan never fails plan plan know life planned kitaek,know kind plan never fails plan plan know life planned kitaek,positive
63,"""It's so metaphorical.""",metaphorical,metaphorical,neutral
64,"This is a must-see film with great acting and fun, witty characters. I was intrigued the entire run time.",mustsee film great acting fun witty characters intrigued entire run time,mustsee film great acting fun witty character intrigued entire run time,positive
65,"Labyrinths, and therefore ghosts, manifested by the excessive designs of wealth for the impoverished to lose their bearings within. For them to not only become spatially disoriented by the bottomlessness of the structure's framework, but to become physically adrift to the point of brotherly pitilessness and self-consuming strong-arm tactics. Earnest derision delivered through the device of a ""game"" with no innocent players. Not a judgment but a predicament, as nobody is left without the burden of guilt or foul play in a system designed to oppose man against man for the sake of a cushy, pecuniary illusion of safety.",labyrinths therefore ghosts manifested excessive designs wealth impoverished lose bearings within become spatially disoriented bottomlessness structures framework become physically adrift point brotherly pitilessness selfconsuming strongarm tactics earnest derision delivered device game innocent players judgment predicament nobody left without burden guilt foul play system designed oppose man man sake cushy pecuniary illusion safety,labyrinth therefore ghost manifested excessive design wealth impoverished lose bearing within become spatially disoriented bottomlessness structure framework become physically adrift point brotherly pitilessness selfconsuming strongarm tactic earnest derision delivered device game innocent player judgment predicament nobody left without burden guilt foul play system designed oppose man man sake cushy pecuniary illusion safety,positive
66,Arclight. Hollywood. Perfect,arclight hollywood perfect,arclight hollywood perfect,positive
67,finally got over the one inch tall barrier of subtitles and that’s on cinematic masterpiece luv,finally got one inch tall barrier subtitles thats cinematic masterpiece luv,finally got one inch tall barrier subtitle thats cinematic masterpiece luv,neutral
68,"Let's get one thing straight: Parasite is phenomenal. It's a stunning, subtle, and immensely powerful piece on class warfare and the nature of the human condition. It's also a tense, funny, extremely entertaining film that didn't feel its length at all. Go into it without knowing anything if you can; it made my viewing experience all the more exciting.",lets get one thing straight parasite phenomenal stunning subtle immensely powerful piece class warfare nature human condition also tense funny extremely entertaining film didnt feel length go without knowing anything made viewing experience exciting,let get one thing straight parasite phenomenal stunning subtle immensely powerful piece class warfare nature human condition also tense funny extremely entertaining film didnt feel length go without knowing anything made viewing experience exciting,positive
69,A few spare observations on another theater viewing:,spare observations another theater viewing,spare observation another theater viewing,neutral
70,“They say ghosts in the house bring wealth”,say ghosts house bring wealth,say ghost house bring wealth,neutral
71,"Instituting the ""Gentleman's 4,"" in which I rate a film 4 Stars due to its objective and undeniable artistic and technical merit even though my personal enjoyment hovers from 3.25 to 3.50 Stars. It will be noted by the symbol *G4 at the beginning of the review. So...*G4",instituting gentlemans 4 rate film 4 stars due objective undeniable artistic technical merit even though personal enjoyment hovers 325 350 stars noted symbol g4 beginning review sog4,instituting gentleman 4 rate film 4 star due objective undeniable artistic technical merit even though personal enjoyment hovers 325 350 star noted symbol g4 beginning review sog4,positive
72,damn that kid really has the worst birthdays huh,damn kid really worst birthdays huh,damn kid really worst birthday huh,negative
73,If you don’t like Parasite keep that to yourself that shit is embarrassing,dont like parasite keep shit embarrassing,dont like parasite keep shit embarrassing,negative
74,Kim: hey whatcha got there,kim hey whatcha got,kim hey whatcha got,neutral
75,"The Lot Roulette, Pick by Frank",lot roulette pick frank,lot roulette pick frank,neutral
76,“I would say it did entertain me” -my mother,would say entertain mother,would say entertain mother,neutral
77,My body was ready. My soul was ready... My mind was not ready.,body ready soul ready mind ready,body ready soul ready mind ready,positive
78,celebratory bong hits worldwide,celebratory bong hits worldwide,celebratory bong hit worldwide,neutral
79,bro i cant read wtf are they saying bro,bro cant read wtf saying bro,bro cant read wtf saying bro,negative
80,"Parasite was amazing on a first watch but on the second watch it was infinitely better. When the movie showed me the Park house for the first time in my second viewing, a really strange feeling washed over me. A feeling that it doesn't matter what either family accomplishes it's all going to have a tragic ending. Although this movie blends genres in a very entertaining way, it's still a bleak and bitter view of the world. The winding plot has seemingly no end and the morality of every single character is ambiguous. Everyone is so flawed but redeeming enough to root for them. Truly masterful storytelling, nothing is overused or held back from the audience. It's not a surprise a masterpiece like this has so much universal appeal and transcends its setting time period.",parasite amazing first watch second watch infinitely better movie showed park house first time second viewing really strange feeling washed feeling doesnt matter either family accomplishes going tragic ending although movie blends genres entertaining way still bleak bitter view world winding plot seemingly end morality every single character ambiguous everyone flawed redeeming enough root truly masterful storytelling nothing overused held back audience surprise masterpiece like much universal appeal transcends setting time period,parasite amazing first watch second watch infinitely better movie showed park house first time second viewing really strange feeling washed feeling doesnt matter either family accomplishes going tragic ending although movie blend genre entertaining way still bleak bitter view world winding plot seemingly end morality every single character ambiguous everyone flawed redeeming enough root truly masterful storytelling nothing overused held back audience surprise masterpiece like much universal appeal transcends setting time period,positive
81,"""Well that was unexpected""",well unexpected,well unexpected,positive
82,Action! - The Sudden Shifts of Bong Joon-ho,action sudden shifts bong joonho,action sudden shift bong joonho,positive
83,Body odor class warfare. The high class house is a film stage where social tension is acted in a series of seen/unseen gestures. Privilege is a matter of who is allowed to do either. Smell is key because it can’t be play acted in the social theatre. Our daily horror is becoming a ghost. As often with Bong what is so effective is how everything is build into the film machinery as cinema apparatus is just another instance of the same system.,body odor class warfare high class house film stage social tension acted series seenunseen gestures privilege matter allowed either smell key cant play acted social theatre daily horror becoming ghost often bong effective everything build film machinery cinema apparatus another instance system,body odor class warfare high class house film stage social tension acted series seenunseen gesture privilege matter allowed either smell key cant play acted social theatre daily horror becoming ghost often bong effective everything build film machinery cinema apparatus another instance system,positive
84,"many thanks to the online dictionary, who helped write part of this review",many thanks online dictionary helped write part review,many thanks online dictionary helped write part review,positive
85,Roses are red,roses red,rose red,positive
86,I thought there was gonna be like an anus worms type of Parasite in this but it was good anyway.,thought gon na like anus worms type parasite good anyway,thought gon na like anus worm type parasite good anyway,positive
87,So when can we expect the bad Hollywoood remake that totally misses the point of the original?,expect bad hollywoood remake totally misses point original,expect bad hollywoood remake totally miss point original,negative
88,holy shit that left me jaw dropped for a solid 30 minutes,holy shit left jaw dropped solid 30 minutes,holy shit left jaw dropped solid 30 minute,negative
89,"“If you make a plan, life never works out that way. With no plan, nothing can go wrong.”",make plan life never works way plan nothing go wrong,make plan life never work way plan nothing go wrong,negative
90,"You can never escape your smell. Maybe, you think, if you make a lot of money, and buy that big house, those people won’t notice; the money will wash it away. That’s the hope you cling to.",never escape smell maybe think make lot money buy big house people wont notice money wash away thats hope cling,never escape smell maybe think make lot money buy big house people wont notice money wash away thats hope cling,neutral
91,"I was going to call this the best movie I've seen this year, but honestly it might be the best movie I've ever seen in my whole life",going call best movie ive seen year honestly might best movie ive ever seen whole life,going call best movie ive seen year honestly might best movie ive ever seen whole life,positive
92,how am i supposed to fall asleep after witnessing possibly one of the best movies to ever be crafted ?,supposed fall asleep witnessing possibly one best movies ever crafted,supposed fall asleep witnessing possibly one best movie ever crafted,positive
93,"Just rewatched this timeless, best decade-ender film of the 2010s along with a friend of mine, who began venturing into Asian cinema for the first time today. Parasite is a Korean dramedy thriller film tackling class division by juxtaposing the lives of the affluent Park family and the penurious Kim family. Director Bong Joon-ho has been criticizing the growing social class divide in South Korea with his previous films and, despite being his recently released film, Parasite is probably the most critical, cut-throat film of his that perfectly captures the attention of his audience by combining comedy and thriller, while simultaneously showing the harsh realities of being in the South Korean working class. The storytelling, directorship, pacing, and cinematography blended in such a way that every scene becomes either emotionally appalling or stirring in its finest. Its message and symbolism has never been as relevant as today, considering that the rich can afford to rent private islands to escape the pandemic while the poor are getting eviction and unemployment notices. Parasite proved that even relatively low-budget films, when executed perfectly, can win prestigious awards, and opened doors for not just Asian, but international cinema in general, that the Westerners, just like my friend, can appreciate cinema beyond the English language when they overcome that one-inch tall barrier that is the subtitles. While I do think that Bong Joon-ho produced better films than this one, Parasite will remain as his magnus opus that will be talked and analyzed for decades to come.",rewatched timeless best decadeender film 2010s along friend mine began venturing asian cinema first time today parasite korean dramedy thriller film tackling class division juxtaposing lives affluent park family penurious kim family director bong joonho criticizing growing social class divide south korea previous films despite recently released film parasite probably critical cutthroat film perfectly captures attention audience combining comedy thriller simultaneously showing harsh realities south korean working class storytelling directorship pacing cinematography blended way every scene becomes either emotionally appalling stirring finest message symbolism never relevant today considering rich afford rent private islands escape pandemic poor getting eviction unemployment notices parasite proved even relatively lowbudget films executed perfectly win prestigious awards opened doors asian international cinema general westerners like friend appreciate cinema beyond english language overcome oneinch tall barrier subtitles think bong joonho produced better films one parasite remain magnus opus talked analyzed decades come,rewatched timeless best decadeender film 2010s along friend mine began venturing asian cinema first time today parasite korean dramedy thriller film tackling class division juxtaposing life affluent park family penurious kim family director bong joonho criticizing growing social class divide south korea previous film despite recently released film parasite probably critical cutthroat film perfectly capture attention audience combining comedy thriller simultaneously showing harsh reality south korean working class storytelling directorship pacing cinematography blended way every scene becomes either emotionally appalling stirring finest message symbolism never relevant today considering rich afford rent private island escape pandemic poor getting eviction unemployment notice parasite proved even relatively lowbudget film executed perfectly win prestigious award opened door asian international cinema general westerner like friend appreciate cinema beyond english language overcome oneinch tall barrier subtitle think bong joonho produced better film one parasite remain magnus opus talked analyzed decade come,positive
94,"never have i ever been so wrong about what i thought a film was going to be about... my mind is still absolutely blown as i'm writing this two days after my viewing. bong joon-ho completely lures in his audience, making us feel connected to these characters even if we don't have anything in common with them all the way until the very last frame.",never ever wrong thought film going mind still absolutely blown im writing two days viewing bong joonho completely lures audience making us feel connected characters even dont anything common way last frame,never ever wrong thought film going mind still absolutely blown im writing two day viewing bong joonho completely lure audience making u feel connected character even dont anything common way last frame,negative
95,this movie will always be the best thing ever happened to myself as a cinephile,movie always best thing ever happened cinephile,movie always best thing ever happened cinephile,positive
96,Genuinely thought this was supposed to be a horror movie when I put it on!💀 I was waiting for some kinda monster to show up!😭,genuinely thought supposed horror movie put waiting kinda monster show,genuinely thought supposed horror movie put waiting kinda monster show,positive
97,"Parasite is the film of the decade. Not because it's the best (but it's in contention), but because it so perfectly defines the world as it exists right now. Capitalism has made us all parasites, as worker solidarity is crushed beyond hope beneath the veneer of consumerism and individualism. The workers now want to be capitalists and work within the system, not dismantle it. The rich people in Parasite may not do anything explicitly bad but society arbitrarily chooses to allow their wealth to let them avoid consequences and troubles, which is why we cannot and should not side with them. Rich people can afford to be nice, that doesn't mean we have to be.",parasite film decade best contention perfectly defines world exists right capitalism made us parasites worker solidarity crushed beyond hope beneath veneer consumerism individualism workers want capitalists work within system dismantle rich people parasite may anything explicitly bad society arbitrarily chooses allow wealth let avoid consequences troubles side rich people afford nice doesnt mean,parasite film decade best contention perfectly defines world exists right capitalism made u parasite worker solidarity crushed beyond hope beneath veneer consumerism individualism worker want capitalist work within system dismantle rich people parasite may anything explicitly bad society arbitrarily chooses allow wealth let avoid consequence trouble side rich people afford nice doesnt mean,positive
